Name,X,Y,A,B,C,D,E,F,Signal
137,-111.111,39.53191,0.038084857,0.0006147366,0.055194244,4.1305815e-5,0.49993792,0.1532774,E
138,-111.14962,39.42385,0.13628836,0.06559116,0.0,0.0024047974,0.33986112,0.17294571,A
139,-111.21489,39.24024,0.7222344,0.0,0.0,0.018622637,0.0,0.06919983,A
140,-111.10823,39.5433,0.05648809,0.0,0.13389006,0.0,0.37613752,0.14550129,E
141,-111.17295,39.36108,0.04055643,0.0,0.06554591,0.0,0.39633635,0.13445035,E
142,-111.11823,39.51663,0.0,0.0,0.06680206,0.0,0.43272108,0.1397617,E
143,-111.19212,39.30941,0.4081067,4.2546304e-5,0.09616845,0.027130116,0.17118518,0.05740563,A
144,-111.04267,39.73107,0.0,0.16846372,5.095853e-6,0.0024278685,0.33459613,0.13792317,E
145,-111.04378,39.7283,0.037870195,0.00043836073,0.15254512,0.0023354178,0.40898445,0.1149523,E
146,-111.16017,39.40302,0.11028495,0.069583476,0.0,0.0011080047,0.35128418,0.16504624,E
147,-111.17934,39.35024,0.3628955,0.08284376,0.0,0.0025131674,0.08645333,0.14006941,A
148,-111.12239,39.51135,0.046130173,0.07441056,0.018658085,0.18307042,0.25777104,0.10786301,E
149,-111.19239,39.31747,0.29592735,0.03570903,0.0,0.028898496,0.2553868,0.25736892,A
150,-111.19267,39.31747,0.14611277,0.056058332,0.0,0.014112391,0.3791272,0.19829887,E
151,-111.03878,39.75052,0.031834844,0.0,0.1390588,0.00014790308,0.36648375,0.14016479,E
