Name,X,Y,A,B,C,D,Signal
3768,-111.81939,41.74465,0.25187615,0.37269866,0.5619597,0.14230855,A
3769,-112.27133,40.51383,0.32294336,0.42824367,0.16623265,0.18119021,B
3770,-113.16246,37.95386,0.30188197,0.36491808,0.4893851,0.118944384,A
3771,-113.03829,38.32219,0.40644684,0.35892105,0.44825605,0.11684571,A
3772,-113.47523,37.00998,0.40407044,0.34471908,0.13667513,0.06632976,B
3773,-113.03329,38.33886,0.40398958,0.36425963,0.4460408,0.11276659,A
3774,-113.03801,38.32524,0.43444228,0.35700238,0.45410857,0.11941484,A
3775,-113.05662,38.27302,0.44772267,0.3571543,0.4250887,0.1242196,A
3776,-111.83355,41.71188,0.2278814,0.3774189,0.5579771,0.14104713,A
3777,-113.02301,38.37524,0.32948354,0.3778549,0.42254993,0.100594796,A
3778,-113.03801,38.33163,0.4315968,0.35762677,0.4543649,0.11806003,A
3779,-112.64301,39.47773,0.36046615,0.40719742,0.37104735,0.07223987,A
3780,-113.02857,38.36024,0.4159188,0.36229277,0.45576268,0.11358742,A
3781,-111.98994,41.29439,0.30012882,0.5090643,0.5514259,0.055976707,A
3782,-111.8605,41.64382,0.28030467,0.3635069,0.6166542,0.16562639,A
3783,-112.64551,39.47245,0.33117023,0.41124603,0.36829323,0.07068491,A
3784,-113.04718,38.30719,0.4382578,0.35597458,0.4444755,0.11942948,A
3785,-113.04718,38.30747,0.4426445,0.35680294,0.4454353,0.11967883,A
3786,-111.82855,41.73132,0.2710883,0.36597037,0.5932511,0.14898072,A
3787,-111.8605,41.64577,0.24325044,0.3775649,0.5839965,0.15386753,A
3788,-113.02801,38.36441,0.41415218,0.3655118,0.45368168,0.11194941,A
3789,-113.03301,38.34997,0.43364543,0.36053684,0.45895904,0.11475649,A
3790,-112.94523,38.60858,0.34068167,0.3834258,0.44240493,0.09355102,A
3791,-112.25883,40.56189,0.32777604,0.4444027,0.18037993,0.17509064,B
3792,-112.64023,39.49106,0.3725081,0.40641487,0.37513554,0.072493106,A
3793,-113.04773,38.30941,0.43688157,0.35574704,0.44418028,0.11932198,A
3794,-113.06635,38.25469,0.4084407,0.36259532,0.40866393,0.120535865,A
3795,-113.47912,37.01248,0.4048815,0.34393308,0.1361562,0.066491164,B
3796,-112.4244,40.10272,0.34666392,0.41751814,0.20952003,0.09172891,B
3797,-112.03828,41.16939,0.25802955,0.5178443,0.50041497,0.10136932,B
3798,-112.03845,41.16931,0.25574818,0.5161019,0.5022332,0.10159267,B
3799,-111.11947,43.59078,0.20929572,0.23759222,0.14570156,0.2156437,C
3800,-111.99716,41.28439,0.29260203,0.5116143,0.55014706,0.05651295,A
3801,-113.06607,38.26191,0.4366315,0.357979,0.4196055,0.12394937,A
3802,-112.69912,39.33079,0.32323706,0.41151032,0.42221734,0.051619496,A
3803,-112.20178,40.72794,0.41492915,0.5264052,0.18477345,0.16203584,B
3804,-113.0419,38.33524,0.43414816,0.35814124,0.45542002,0.11654713,A
3805,-113.05635,38.29469,0.42602262,0.3600237,0.42315024,0.11841434,A
3806,-113.06023,38.2833,0.42782274,0.3604403,0.4283746,0.121612035,A
3807,-113.05385,38.30219,0.44173333,0.35803097,0.4299833,0.11947978,A
3808,-111.84161,41.71021,0.28074753,0.36794993,0.608013,0.15153235,A
3809,-112.20328,40.72744,0.35262242,0.5240588,0.18208554,0.15544373,B
3810,-111.85244,41.6816,0.21087629,0.38256902,0.56568056,0.13901795,A
3811,-112.05022,41.14717,0.2667266,0.52082855,0.49615934,0.1004276,B
3812,-113.05023,38.31663,0.43488207,0.35463205,0.44768432,0.11919176,A
3813,-111.78528,41.86432,0.26160046,0.37454438,0.5132047,0.13702594,A
3814,-112.02478,41.21994,0.29235578,0.5197327,0.52512085,0.07359297,A
3815,-112.6544,39.46745,0.3984744,0.40021178,0.37566528,0.07317493,A
3816,-113.05662,38.30025,0.44292483,0.35764587,0.4300507,0.11958873,A
3817,-112.99218,38.48997,0.33917844,0.37945163,0.45273432,0.10063965,A
3818,-113.03301,38.37024,0.4078877,0.3649641,0.45578817,0.10979052,A
3819,-113.06607,38.27302,0.44161084,0.356615,0.42210677,0.12332034,A
3820,-113.06607,38.2733,0.444775,0.35568014,0.42037314,0.123324916,A
3821,-111.99244,41.30966,0.29349235,0.50668824,0.5397345,0.057395566,A
3822,-113.04885,38.32441,0.4354059,0.35537934,0.45107567,0.11877431,A
3823,-113.05079,38.32024,0.43684906,0.35504684,0.44894272,0.11921604,A
3824,-112.02578,41.22078,0.2923458,0.51927894,0.5287087,0.073658206,A
