,NPV
1340,-25626500.0
1341,-25660200.0
1342,-25731400.0
1343,-25717500.0
1344,-27098400.0
1345,-18643100.0
1346,-16469200.0
1347,-42313800000.0
1348,-1377130.0
1349,-24281000.0
1350,-4384030.0
1351,-18095700.0
1352,-11202600.0
1353,20124800.0
1354,75453900.0
1355,-90988000.0
1356,-17769200.0
1357,48950900.0
1358,55500900.0
1359,23798000.0
1360,-11773500.0
1361,43740300.0
1362,41491300.0
1363,32100100.0
1364,-25307000.0
1365,421273000.0
1366,4488530.0
1367,-13994100.0
1368,15187300.0
1369,16605900.0
1370,-21889600.0
1371,-22332400.0
1372,-23955000.0
1373,-17939200.0
1374,-24819200.0
1375,-15301700.0
1376,-19886200.0
1377,-14060100.0
1378,-18916500.0
1379,-15734000.0
1380,9310220.0
1381,-21708100.0
1382,-10838800.0
1383,106293.0
1384,14889800.0
1385,-16909900.0
1386,-17524100.0
1387,-23192300.0
1388,-22226400.0
1389,-20798600.0
1390,-23619700.0
1391,-24819200.0
1392,-24819200.0
1393,-24819200.0
1394,-23264700.0
1395,-24568600.0
1396,-24090300.0
1397,-24568600.0
1398,-23904600.0
1399,-24568600.0
1400,-24897600.0
1401,-24882400.0
1402,-24576100.0
1403,-24591500.0
1404,-24569700.0
1405,-24591300.0
1406,-24591000.0
1407,-24572100.0
1408,-24622900.0
1409,-21009100.0
1410,-15263700.0
1411,-19960500.0
1412,-16392600.0
1413,26490900.0
1414,-24585600.0
1415,-24577600.0
1416,-24823200.0
1417,-25961800.0
1418,-25933100.0
1419,-19938600.0
1420,-25591800.0
1421,-26022400.0
1422,-19522200.0
1423,-18125300.0
1424,-12300900.0
1425,-21746700.0
1426,-15311100.0
1427,-23087800.0
1428,-11205300.0
1429,-10564600.0
1430,-17157700.0
1431,-9502740.0
1432,-4645990.0
1433,-26179000.0
1434,-23986000.0
1435,-17338700.0
1436,-26006100.0
1437,-29115300.0
1438,-27316900.0
1439,-22679200.0
1440,-13810800.0
1441,-15874400.0
1442,-12095000.0
1443,-24724900.0
1444,-16969300.0
1445,-6616330.0
1446,-10193600.0
1447,157379000.0
1448,228865000.0
1449,50440300.0
1450,75872300.0
1451,111571000.0
1452,94592800.0
1453,153792000.0
1454,167679000.0
1455,449164.0
1456,-3170000.0
1457,-7004620.0
1458,108259000.0
1459,-25557900.0
1460,-20222500.0
1461,-38066100.0
1462,-22362600.0
1463,-25047600.0
1464,21636800.0
1465,-24975400.0
1466,17225100.0
1467,8767950.0
1468,2309750.0
1469,-21533500.0
1470,-16520500.0
1471,451108000.0
1472,-13703800.0
1473,2358620.0
1474,-20656400.0
1475,-23189300.0
1476,-4831370.0
1477,-23245800.0
1478,20278300.0
1479,-23336700.0
1480,-21448300.0
1481,-14756600.0
1482,-14185500.0
1483,-19000300.0
1484,-13479100.0
1485,5173820.0
1486,-20401600.0
1487,14798300.0
1488,32423200.0
1489,-25053900.0
1490,-25054100.0
1491,-25053900.0
1492,-25054100.0
1493,-25053900.0
1494,-24548600.0
1495,-25053900.0
1496,-22434100.0
1497,-23623900.0
1498,-22408200.0
1499,-23217100.0
1500,-24519800.0
1501,-22829400.0
1502,-24338100.0
1503,-25053900.0
1504,-15171600.0
1505,-23347800.0
1506,-20472000.0
1507,-6177590.0
1508,-20126800.0
1509,-20347100.0
1510,-22889400.0
1511,-21800100.0
1512,-25053900.0
1513,-15781800.0
1514,-13160800.0
1515,-15228700.0
1516,-20800200.0
1517,-13436500.0
1518,-23897300.0
1519,-25651600.0
1520,-25790600.0
