,hpro:0.000,hpro:0.750,hpro:1.500,hpro:2.250,hpro:3.000,hpro:3.750,hpro:4.500,hpro:5.250,hpro:6.000,hpro:6.750,hpro:7.500,hpro:8.250,hpro:9.000,hpro:9.750,hpro:10.500,hpro:11.250,hpro:12.000,hpro:12.750,hpro:13.500,hpro:14.250,hpro:15.000,hpro:15.750,hpro:16.500,hpro:17.250,hpro:18.000,hpro:18.750,hpro:19.500,hpro:20.250,hpro:21.000,hpro:21.750,hpro:22.500,hpro:23.250,hpro:24.000,hpro:24.750,hpro:25.500,hpro:26.250,hpro:27.000,hpro:27.750,hpro:28.500,hpro:29.250
1295,273.576,272.829,252.682,248.268,245.789,244.171,242.985,242.064,241.322,240.706,240.184,239.735,239.341,238.994,238.684,238.404,238.151,237.92,237.708,237.513,237.332,237.165,237.008,236.862,236.724,236.595,236.473,236.358,236.249,236.145,236.047,235.953,235.863,235.778,235.696,235.618,235.543,235.471,235.402,235.335
1296,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46,876.46
1297,754.877,750.811,621.721,568.038,536.518,513.085,495.819,482.14,470.927,461.704,453.697,446.664,440.458,434.929,429.96,425.46,421.359,417.6,414.137,410.933,407.956,405.181,402.584,400.148,397.857,395.695,393.652,391.716,389.879,388.131,386.467,384.879,383.362,381.91,380.519,379.184,377.903,376.67,375.484,374.341
1298,336.406,334.709,289.088,278.001,272.995,268.801,265.762,263.42,261.54,259.986,258.672,257.542,256.555,255.683,254.906,254.206,253.573,252.996,252.466,251.979,251.527,251.108,250.717,250.352,250.009,249.687,249.383,249.095,248.823,248.565,248.32,248.086,247.863,247.65,247.447,247.252,247.065,246.885,246.713,246.547
1299,717.27,717.172,709.815,708.373,707.516,706.941,706.519,706.193,705.93,705.712,705.528,705.369,705.23,705.107,704.998,704.9,704.81,704.729,704.655,704.586,704.523,704.464,704.409,704.357,704.309,704.264,704.221,704.181,704.143,704.106,704.072,704.039,704.008,703.978,703.95,703.922,703.896,703.871,703.847,703.824
1300,852.572,852.572,852.572,852.572,852.572,852.572,852.572,847.033,823.078,766.17,743.263,721.54,704.361,685.868,668.371,656.281,643.474,632.085,621.055,610.792,601.182,592.935,584.119,575.982,568.379,561.161,554.306,546.726,540.411,534.499,528.861,523.462,518.286,513.315,508.537,503.938,499.508,495.236,490.604,486.316
1301,852.571,852.571,712.659,625.869,571.566,532.552,504.523,480.492,461.129,444.241,429.723,417.039,405.823,394.536,385.598,377.54,369.636,362.873,356.678,350.934,345.587,340.59,335.908,331.508,327.362,323.447,319.742,316.228,312.89,309.713,306.684,303.792,301.028,298.381,295.844,293.409,291.07,288.82,286.654,284.566
1302,852.575,852.575,852.575,852.575,852.575,852.575,852.575,852.575,852.575,852.575,852.575,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.574,852.639
1303,562.041,561.942,444.748,404.896,382.585,365.332,354.08,344.807,337.683,331.686,326.562,322.129,318.234,314.775,311.676,308.878,306.335,304.011,301.876,299.904,298.077,296.377,294.79,293.305,291.91,290.596,289.357,288.185,287.075,286.02,285.018,284.062,283.151,282.28,281.447,280.649,279.883,279.148,278.442,277.762
1304,675.202,675.135,606.836,581.83,566.688,558.465,552.258,524.562,508.419,492.657,478.903,467.384,456.349,447.978,438.375,430.443,424.034,416.483,411.11,404.616,399.271,394.258,389.546,385.107,380.914,375.755,372.045,368.54,365.202,362.016,358.969,356.052,353.255,350.571,347.992,345.543,343.046,340.796,338.527,336.309
