LATITUDE_NAD83,LONGITUDE_NAD83,TEMP_C,GEOTHERMOMETER_QUARTZ_C,GEOTHERMOMETER_CHALCEDONY_C,pH_FIELD,TDS_LAB,AL_PPM,B_PPM,BA_PPM,BE_PPM,BR_PPM,CA_PPM,CL_PPM,HCO3_PPM,K_PPM,LI_PPM,MG_PPM,NA_PPM,δO18
39.58441,-111.13128,3.9,12.83168822,-20.03611942,6.9,,,0.03,,,,36.0,2.6,,1.0,0.01,7.7,2.7,
39.75468,-111.07072,5.6,31.02036804,-1.821622591,7.3,,,0.1,,,,89.0,5.7,,1.1,,10.0,3.5,
39.43635,-111.18517000000001,4.2,19.32333836,-13.56473454,7.35,,,0.025,,,,72.5,3.75,,1.2,0.01,30.5,6.55,
39.01108,-111.33518,4.0,38.27729284,5.525773122,8.2,,,,,,,43.0,8.1,,1.3,,15.0,7.9,
39.44469,-111.18323,8.0,19.429566,-13.46180969,8.3,,,0.05,,,,69.0,4.7,,0.8,,22.0,3.5,
39.33969,-111.22073,8.1,32.58290197,-0.243504812,7.8,,0.02,0.04,,,,66.0,23.0,,0.9,,42.0,17.0,
39.56885,-111.13962,3.9,23.06094461,-9.827460748,7.0,,,0.02,,,,62.0,1.9,,0.7,,8.7,1.8,
39.34608,-111.21934,22.6,,,8.0,,,,,,,,,,,,,,
39.31802,-111.23017,11.75,34.069550254999996,1.2604871064999998,7.95,,0.035,0.2,0.315,,,26.0,8.649999999999999,,4.1,0.035,19.5,68.5,
39.42247,-111.19378000000002,7.25,22.5641549,-10.32532792,7.4,,,0.08,,,,73.0,2.9,,0.9,,28.0,3.3,
39.42219,-111.19433999999998,6.875,22.06043214,-10.82992574,7.4,,,0.08,,,,70.0,2.7,,1.8,,25.0,3.5,
39.39135,-111.20601,6.5,,,7.7,,,,,,,,,,,,,,
39.30913,-111.23517,8.0,32.58290197,-0.243504812,7.699999999999999,,,0.02,,,,47.0,22.0,,0.7,,44.0,41.0,
39.3908,-111.20628,6.6,,,8.0,,,,,,,,,,,,,,
39.59774,-111.13295,6.85,31.02036804,-1.821622591,6.5,,,0.02,,,,12.0,1.5,,0.6,,2.9,2.1,
39.57108,-111.14267,4.2,,,7.2,,,,,,,,,,,,,,
39.34497,-111.22378,6.3,28.55037887,-4.311903106,7.5,,,0.04,,,,62.0,6.5,,0.8,,34.0,9.2,
39.25608,-111.25545,12.0,,,,,,,,,,,,,,,,,
39.52969,-111.15878,3.9,25.44802461,-7.432229072,6.9,,,0.03,,,,54.0,4.2,,1.6,0.01,36.0,3.9,
39.5708,-111.14434,3.0,24.98289205,-7.899336682,7.3,,,0.02,,,,57.0,2.5,,0.6,,8.0,2.1,
39.38941,-111.20878,4.0,,,7.6,,,,,,,,,,,,,,
